0,"TIL of ""Zero"", a soccer stadium in Brazil in which the midfield line is aligned with the Equator - zero latitude, which makes each team defending one hemisphere."
1,"TIL If you're bilingual you experience the ""tip-of-the-tongue"" sensation more often, basically because your brain has more words in it to keep track of"
2,TIL 9 out of 10 of people who have lost 100 pounds or more say they would rather have a leg amputated than be obese again.
3,"TIL in 2016, 'Getty Images' sold some of the 100,000+ photos that had been donated, royalty-free, to the Library of Congress by the original photographer and Getty Images then demanded payment from the photographer, for using the photos she owned. She sued them (unsuccessfully) for over $1 billion."
4,"TIL During the Vietnam War the act of ""Fragging"" was when US troops would toss a grenade in their commanding officers tent; known and suspected fragging cases by explosives in Vietnam from 1969 to 1972 totaled nearly 900..."
5,"TIL Picasso once famously said: ""It took me four years to paint like Raphael, but a lifetime to paint like a child."" Researchers hypothesized that this is because early childhood is a period characterized by ""exuberant neural connectivity"" that facilitates ""arbitrary sensory experiences in infants."""
6,"TIL The glass of a beer bottle is brown or green to reduce spoilage from light, especially UV."
7,TIL the University of Montreal attempted to conduct a study in 2009 on male pornography consumption but was unable to put together a control group because they were unable to find men who had never watched porn
8,"TIL A programmer at Apple kept working for three months after his project was canceled, simply because he thought the work was interesting and wanted to finish. Apple employees helped his cause by sneaking him into the building, and the project (a graphing calculator) was successfully released."
9,"TIL that the instant noodle was invented during a period of food shortages in Japan following WWII. After the Japanese health ministry supplied the population with wheat flour and asked them to make bread, Momofuku Ando instead decided on making noodles (which were more familiar) that would last."
10,"TIL that when cardinals failed to elect a pope for 2 years, a hermit warned them of divine vengeance. Cardinals elected him as Pope Celestine V. He refused and tried to flee, and after being persuaded, he wrote two decrees: for fixing the papal elections and for allowing him to resign. Then resigned"
11,"TIL Nike wanted to call their first shoe design 'Aztec', but Addidas threatened to sue since they already had a line called 'Aztec Gold'. The Nike cofounders then decided to change the name to 'Cortez' after the general who ""kicked the shit out of the Aztecs""."
12,"TIL a riddle from 1688 goes. ""If a man born blind can feel the differences between shapes such as spheres and cubes, could he, if given the ability, distinguish those objects by sight alone?"" In 2003 the riddle was solved when five people had their sight restored though surgery. They could not."
13,"TIL the US Govt. used shell companies to import Titanium from the Soviet Union, to build the Blackbird SR-71, so they could spy on the Soviet Union"
14,"TIL that the largest lake in the world is also the oldest: Lake Baikal, Siberia. It contains 20% of the Earth's fresh surface water, and is 25 million years old."
15,TIL more land is used for opium in Afghanistan than is used for coca (the basis of cocaine) in all of Latin America
16,"TIL there are mysterious ancient stone cart tracks all over Malta, some of which disappear over cliffs and reappear at the bottom of the ocean."
17,TIL early Antarctic explorers used a novel treatment for snow blindness- cocaine.
18,"TIL the top flying ace for the United States during World War II was Dick Bong, who shot down 40 Japanese aircraft."
19,TIL that child psychologist Connell Watkins simulated a “rebirth” on Candice Newmaker. After 70 minutes the girl was found dead from suffocation. Only 7 years of prison were served.
20,"TIL: Hitler was in Germany illegally for nearly 7 years, could not run for public office, and should've been deported."
21,"TIL Nashville, TN isn't referred to as the ""Athens of the South"" because of its full size replica of the Parthenon, but because it was the first American southern city to establish a public school system in the 1850s"
22,"TIL that not only was King Richard III found buried under a city car park, but coincidentally was almost directly under a large painted ""R"" for Reserved"
23,"TIL the SR-71 Blackbird's original name was the RS-71, but Lyndon Johnson messed up during the announcement and called it the SR-71 and the name stuck"
24,"TIL Most people are not hypersensitive to cat fur, they are actually allergic to the saliva. When a cat grooms themselves, these allergens are placed on the fur. The saliva contains different major and minor allergens which can cause sneezing, congested eyes and blocked nose."
25,"TIL of Tijuana Bibles, small comic books that first appeared in the 1920s featuring well-known cartoon characters,and Hollywood stars in hardcore sexual situations. They were sold under-the-counter in tobacco shops, bars, barbershops and bowling alleys."
26,"TIL two men broke into an abandoned hospital and stole a radioactive component of a teletherapy machine for scrap value. Over the next few days, they worked tirelessly to pry it open. Ultimately, 4 people were killed, and 249 others tested positive for high levels of radiation exposure."
27,"TIL In 1969, Jimi Hendrix sent a telegram to Paul McCartney asking him to join a supergroup along with Tony Williams and Miles Davis. McCartney never received the message."
28,"TIL Brent Gretzky, along with his brother Wayne, hold the record for most NHL points scored by siblings with 2,861. (Brent has 4)."
29,"TIL that Alan Bean's first words on the Moon, 'Whoopie! Man, that may have been a small one for Neil, but that's a long one for me', were because of a bet he made with a reporter who claimed that NASA instructed Neil Armstrong what to say on the Moon."
30,"TIL that the composer of the Broadway musical RENT died hours before the first performance of the show. He would go on to win three Tony Awards and the Pulitzer Prize, but never got to see the show performed for an audience."
31,"TIL The oldest plant ever to be regenerated has been grown from 32,000-year-old seeds"
32,"TIL that the melody to the medieval English folk song ""Nottamun Town"" was considered lost to history until musicologists found isolated, illiterate, populations in Appalachia singing the song with a common melody and lyrics."
33,"TIL the Great Pyrenees Sheepdog is born in the sheepfold, and from 2 months old he will sleep, eat and live with the sheep he will be guarding. His thick white coat allows him to be accepted by the sheepfold as a fellow sheep."
34,"TIL that the 1% rule is a rule of thumb pertaining to participation in an internet community, stating that if you get a group of 100 people online then one will create content, 10 will ""interact"" with it (commenting or offering improvements) and the other 89 will just view it."
35,"TIL that President Ronald Reagan's first official White House doctor called his job ""vastly overrated, boring and not medically challenging."" He could not attend most state dinners due to lack of space but had to be ready for emergencies, usually waiting alone in his office wearing a tuxedo."
36,TIL there is an entire museum in Minnesota dedicated to the processed meat product known as SPAM
37,"TIL The 10-minute game, ""Moirai"", which has your character affected by the choices made by other players, was ruined by a single hacker and is now lost forever."
38,"TIL No Y chromosome genes from neanderthals exist, suggesting that all human-neanderthal hybrids were female. The leading theory is that the Y Neanderthal chromosome triggered immune responses, causing miscarriages."
39,TIL Grand Theft Auto V cost $265 million to make -- the largest budget of any video game at that time -- but turned around and made $1 billion in its first 72 hours
40,TIL that the ingredient eye of newt in Shakespeare's play Macbeth is actually just witch codename for mustard seeds
41,"TIL that goldfish produce ethanol instead of lactic acid through aerobic respiration, releasing alcohol into the water around them."
42,"TIL Michael Jordan has two brothers... one is 5'4"" and the other is 5'5"""
43,"TIL Lynda Carter is credited with inventing Wonder Woman's transformation move for the TV show. She had a background in dancing, so she decided on a pirouette or a spin. An explosion effect would be added later on"
44,Til the white sand of the Florida panhandle came from the Appalachian mountains.
45,"TIL Australia is home to more feral Camels than anywhere else in the world, with an estimated 750,000 of the Non-Native species in the wild."
46,TIL that Bram Stokers Dracula could actually walk in the sunlight. It wasn't until later that he was made to die in sunlight.
47,"TIL that BMW lost money every time they sold a BMW 507, which sent the company to the edge of bankruptcy."
48,"TIL that because written Chinese uses characters to represent concepts rather than sounds, speakers of different languages such as Mandarin and Cantonese can communicate through writing, but not speech."
49,"TIL Harry S. Truman, 33rd President of the United States, passed the eye exam needed to enter the National Guard by memorizing the eye chart due to his poor eyesight"
50,TIL - A San Diego flight school flunked two of the 9/11 hijackers for being terrible students.
51,"TIL in the theme song of Laverne & Shirley, the lyrics of “Schlemiel! Schlimazel!” are Yiddish words meaning a clumsy person and an unlucky person respectively."
52,"TIL the top flying ace for Canada during WW1 was Billy Bishop, who shot down 72 German aircraft"
53,"TIL: The world record for most marriages is 29, held by Glynn Wolfe. When Wolfe died, none of the women he married and only one of his children attended the funeral."
54,"TIL Producer Ralph Bakshi pitched ""Mighty Mouse: The New Adventures"" to CBS by claiming that he owned the rights to Mighty Mouse. CBS actually already owned the rights for 32 years and forgotten about it. CBS purchased the show from Bakshi."
55,"TIL passenger pigeon flocks used to be so big, you could catch them with nets. One large ""tunnel net"" would ensnare 3,500 birds at a time."
56,"TIL: The original version of ""Ain't No Sunshine"" by Bill Withers did not chart on the UK Singles Chart until 2009, 38 years after its release."
57,Til that the bailiff Petir Hawkins-Bird on Judge Judy makes one million dollars a year.
58,TIL the National Institutes of Health has determined that Chemotherapy causes cancer
